customer,net_sales_mln,pct
"Amazon ",109.03,13.233402
"Atliq Exclusive",79.92,9.700206
"Atliq e Store",70.31,8.533803
Sage,27.07,3.285593
Flipkart,25.25,3.064692
Leader,24.52,2.976089
Neptune,21.01,2.550067
Ebay,19.88,2.412914
Electricalsocity,16.25,1.972327
Synthetic,16.10,1.954121
Electricalslytical,15.64,1.898289
"Acclaimed Stores",14.32,1.738075
Propel,14.14,1.716228
Novus,12.91,1.566938
Expression,12.90,1.565724
"Reliance Digital",12.75,1.547518
walmart,12.63,1.532953
Costco,12.19,1.479548
Staples,11.49,1.394587
Girias,11.30,1.371526
"Vijay Sales",11.27,1.367884
Path,11.02,1.337541
Lotus,10.53,1.278068
Ezone,10.30,1.250152
Control,10.10,1.225877
Viveks,10.09,1.224663
Croma,9.88,1.199175
UniEuro,9.63,1.168831
Expert,8.38,1.017114
BestBuy,8.26,1.002549
"Circuit City",8.11,0.984343
"Chip 7",7.23,0.877534
"Radio Shack",7.12,0.864183
"Radio Popular",6.95,0.843549
Zone,6.91,0.838694
"Media Markt",6.88,0.835053
Elkjøp,6.76,0.820488
"Logic Stores",6.31,0.765870
Sorefoz,6.13,0.744022
Sound,5.68,0.689404
Coolblue,5.59,0.678480
"Epic Stores",5.45,0.661488
Elite,5.41,0.656633
Digimarket,5.41,0.656633
Boulanger,5.32,0.645709
Relief,5.31,0.644496
"Forward Stores",5.31,0.644496
"Nomad Stores",5.27,0.639641
Mbit,5.18,0.628717
Euronics,5.10,0.619007
"Premium Stores",5.09,0.617793
"Electricalsquipo Stores",4.75,0.576526
Taobao,4.31,0.523122
"Atlas Stores",4.16,0.504916
Chiptec,3.93,0.477000
Fnac-Darty,3.77,0.457580
Insight,3.61,0.438160
"Electricalslance Stores",3.07,0.372618
"Argos (Sainsbury's)",2.97,0.360481
"Surface Stores",2.78,0.337420
Power,2.60,0.315572
"Currys (Dixons Carphone)",2.43,0.294939
"Electricalsara Stores",2.42,0.293725
"Info Stores",2.40,0.291297
"Flawless Stores",2.38,0.288870
"Integration Stores",1.88,0.228183
Billa,1.65,0.200267
"Unity Stores",1.60,0.194198
Otto,1.57,0.190557
Saturn,1.56,0.189343
"Electricalsbea Stores",1.48,0.179633
Notebillig,1.47,0.178420
All-Out,1.06,0.128656
Nova,0.46,0.055832
